Rank,Player,Pos,Team,Gms,WPA,eWPA,cWPA,gbWPA,SH,TO,FT,REB,AST,STL,BLK,kWPA
201,Damyean Dotson,G,NYK,48,0.78,0.64,0.1,-0.05,1.19,-0.4,-0.04,0.61,1.56,0.5,0.06,3.52
202,Kent Bazemore,G-F,SAC,25,0.77,0.19,0.26,-0.32,1.35,-0.58,-0.03,0.87,0.8,0.54,0.14,3.12
203,Timothe Luwawu-Cabarrot,G-F,BKN,46,0.77,1.03,0.28,0.54,1.55,-0.78,0.04,1.22,0.76,0.41,0.1,3.26
204,Malik Beasley,G,MIN,14,0.75,0.95,0.03,0.23,1.2,-0.44,0.05,0.6,0.97,0.17,0.03,2.52
205,Robert Williams III,C-F,BOS,28,0.75,0.63,0.28,0.15,1.21,-0.45,-0.06,1.22,0.67,0.5,0.53,3.67
206,Spencer Dinwiddie,G,BKN,63,0.75,0.89,0.18,0.32,6.1,-5.36,0.23,2.22,14.36,0.96,0.53,18.82
207,Jakob Poeltl,C,SAS,66,0.74,0.73,0.08,0.07,1.87,-1.13,-0.74,4.01,3.54,0.81,1.94,11.04
208,Malik Monk,G,CHA,55,0.73,0.17,0.55,-0.01,2.71,-1.98,0.1,1.51,3.5,0.55,0.32,6.61
209,Derrick Rose,G,DET,50,0.73,0.8,0.14,0.21,4.49,-3.77,0.35,1.51,9.87,1.03,0.24,13.39
210,Bismack Biyombo,C,CHA,52,0.72,0.42,0.42,0.12,1.96,-1.24,-0.69,3.74,1.22,0.24,1.07,6.98
211,Brandon Goodwin,G,ATL,34,0.69,-0.06,0.38,-0.37,1.16,-0.47,0.12,0.43,1.2,0.21,0.08,2.62
212,Brad Wanamaker,G,BOS,71,0.69,0.49,0.37,0.17,2.66,-1.97,0.53,1.22,5.07,1.27,0.25,8.5
213,Jahlil Okafor,C-F,NOP,29,0.67,0.53,0.11,-0.02,1.35,-0.69,-0.16,1.38,1.07,0.12,0.32,3.56
214,D.J. Augustin,G,ORL,57,0.67,0.48,0.11,-0.08,2.8,-2.14,0.54,1.11,8.79,0.68,0.01,11.26
215,Glenn Robinson III,F,PHI,14,0.66,0.43,0.21,-0.03,0.76,-0.1,0.04,0.49,0.34,0.19,0.05,1.72
216,Denzel Valentine,G,CHI,36,0.64,0.16,0.54,0.07,1.28,-0.65,0.01,0.48,1.32,0.58,0.09,3.1
217,Gorgui Dieng,C,MIN,46,0.63,0.47,0.2,0.05,1.62,-0.99,0.04,2.89,1.86,1.06,0.69,7.12
218,Jake Layman,F,MIN,23,0.61,0.26,0.38,0.02,1.06,-0.45,0.09,0.58,0.54,0.34,0.14,2.21
219,Garrison Mathews,G,WAS,18,0.61,0.57,0.09,0.05,0.76,-0.15,0.09,0.16,0.3,0.21,0.01,1.3
220,James Ennis III,F,PHI,49,0.61,0.56,0.18,0.12,1.48,-0.87,0.08,1.41,1.09,0.57,0.25,3.93
221,Jordan McLaughlin,G,MIN,30,0.6,0.42,0.26,0.08,1.34,-0.74,-0.1,0.36,3.24,0.61,0.09,4.9
222,Keldon Johnson,F-G,SAS,16,0.6,0.78,0.11,0.29,0.86,-0.26,0.04,0.38,0.24,0.42,0.02,1.66
223,Troy Daniels,G,LAL,41,0.6,0.43,0.17,0.01,0.78,-0.18,-0.02,0.32,0.48,0.1,0.02,1.51
224,Gary Harris,G,DEN,55,0.6,0.46,0.37,0.22,2.12,-1.52,0.15,1.58,4,1.94,0.29,8.41
225,Troy Brown Jr.,G-F,WAS,69,0.58,0.47,0.15,0.04,2.08,-1.49,0.06,2.97,5.35,1.73,0.1,10.73
226,Semi Ojeleye,F,BOS,67,0.58,0.66,0.19,0.27,1.01,-0.43,0.06,1.16,1.11,0.48,0.12,3.45
227,Pat Connaughton,G,MIL,66,0.56,0.46,0.17,0.07,1.44,-0.88,0.03,1.98,2.5,0.45,0.38,5.87
228,Shaquille Harrison,G,CHI,43,0.55,0.38,0.17,0,0.91,-0.36,-0.01,0.74,1,0.64,0.32,3.25
229,Miles Bridges,F,CHA,64,0.54,0.53,0.28,0.26,2.49,-1.94,0.12,3.12,3.93,0.88,0.74,9.22
230,James Johnson,F,MIA,17,0.54,0.07,0.39,-0.08,0.88,-0.34,-0.03,0.48,0.84,0.05,0.39,2.3
231,Cedi Osman,F,CLE,65,0.53,0.99,-0.22,0.24,2.65,-2.13,-0.13,1.84,4.34,1.12,0.22,8.05
232,Terance Mann,G-F,LAC,40,0.5,-0.04,0.37,-0.16,0.76,-0.25,-0.03,0.4,1.53,0.21,0.05,2.69
233,Michael Carter-Williams,G,ORL,44,0.5,0.01,0.42,-0.06,1.59,-1.09,0.11,1.49,3.41,1.17,0.32,6.89
234,Maurice Harkless,F-G,LAC,50,0.5,0.26,0.15,-0.09,1.49,-0.99,-0.14,1.72,1.15,0.99,0.59,4.95
235,Wayne Ellington,G,NYK,36,0.49,0.18,0.36,0.05,0.91,-0.42,0.07,0.53,1.24,0.27,0.06,2.6
236,Caris LeVert,G,BKN,44,0.49,-0.13,0.43,-0.19,3.76,-3.28,0.14,2.15,5.7,1.22,0.18,9.75
237,Gary Clark,F,ORL,23,0.47,0.24,0.23,0,0.6,-0.12,0.03,0.83,0.06,0.09,0.2,1.65
238,Caleb Martin,F,CHA,17,0.47,0.23,0.11,-0.13,0.78,-0.31,0.03,0.32,0.76,0.28,0.24,2.07
239,Ryan Arcidiacono,G,CHI,57,0.47,0.23,0.28,0.04,1.36,-0.89,-0.02,0.86,3.37,0.54,0.05,5.29
240,David Nwaba,G-F,BKN,20,0.47,0.38,0.11,0.02,0.69,-0.22,-0.07,0.46,0.19,0.29,0.24,1.64
241,Trevor Ariza,F,POR,21,0.46,0.8,0,0.34,0.93,-0.47,0.07,0.73,1,0.8,0.11,3.1
242,T.J. McConnell,G,IND,71,0.45,-0.6,0.49,-0.56,2.69,-2.25,0.08,1.63,11.2,1.38,0.18,14.84
243,Anthony Tolliver,F,POR,33,0.42,-0.01,0.34,-0.1,0.86,-0.44,-0.05,1,0.97,0.18,0.16,2.74
244,Delon Wright,G,DAL,73,0.42,0.36,0.08,0.01,2.04,-1.62,-0.04,2.62,8.75,1.81,0.3,13.9
245,Mo Bamba,C,ORL,59,0.42,0.27,0.05,-0.09,1.34,-0.93,-0.11,3.07,1.61,0.39,1.42,6.9
246,Naz Reid,C-F,MIN,30,0.41,0.24,0.1,-0.07,0.81,-0.39,-0.04,0.95,1,0.46,0.31,3.14
247,Jeff Green,F,UTA,30,0.41,0.12,0.27,-0.01,1.11,-0.7,0.04,0.71,0.52,0.23,0.16,2.02
248,Jabari Parker,F,ATL,32,0.41,0.64,-0.08,0.16,1.84,-1.43,-0.02,1.72,1.84,0.91,0.17,5.04
250,Reggie Jackson,G,LAC,17,0.39,0.19,0.12,-0.09,0.87,-0.48,0.05,0.35,1.36,0.07,0.03,2.2
251,Dante Exum,G,CLE,24,0.38,0.18,0.24,0.04,0.82,-0.44,-0.04,0.36,0.61,0.25,0.08,1.67
252,Jalen McDaniels,F-C,CHA,16,0.37,0.15,0.11,-0.12,0.55,-0.18,0.05,0.52,0.43,0.15,0.11,1.59
253,Willy Hernangomez,C-F,CHA,30,0.37,0.11,0.28,0.01,0.85,-0.48,-0.06,1.09,0.77,0.2,0.06,2.5
254,JaKarr Sampson,F,IND,34,0.37,0.46,0,0.1,0.64,-0.27,-0.01,0.66,0.38,0.36,0.14,1.9
255,Isaac Bonga,G,WAS,65,0.37,0.48,0.16,0.27,1.51,-1.14,0.06,2.15,2.11,0.94,0.46,6.04
256,PJ Tucker,F,HOU,2,0.36,0.21,0.11,-0.04,0.42,-0.06,0.02,0.16,0.14,0.05,0.02,0.73
257,James Ennis III,F,ORL,20,0.36,0.12,0.12,-0.12,0.89,-0.53,0.06,0.87,0.56,0.23,0.09,2.11
258,Frank Jackson,G,NOP,58,0.36,-0.04,0.08,-0.31,1.43,-1.07,0.09,1.06,1.76,0.37,0.03,3.58
259,Harry Giles III,F-C,SAC,46,0.36,0.36,0.19,0.19,1.25,-0.9,0,1.56,1.51,0.44,0.34,4.19
260,Alex Len,C,ATL,40,0.35,0.64,-0.07,0.22,1.28,-0.93,-0.29,2.49,1.34,0.58,0.64,5.4
261,Kevin Knox II,F,NYK,65,0.35,-0.43,0.38,-0.4,1.22,-0.87,-0.13,1.3,1.77,0.32,0.36,4.09
262,Robin Lopez,C,MIL,66,0.35,0.01,0.12,-0.21,1.46,-1.12,-0.15,1.3,1.09,0.21,0.6,3.53
263,Jonathan Isaac,F,ORL,34,0.34,0.51,0.22,0.39,1.46,-1.12,0.02,2.22,1.55,1.11,1.35,6.56
264,Alex Len,C,SAC,15,0.33,0.14,0.15,-0.04,0.65,-0.32,-0.01,0.96,0.35,0.07,0.34,2.06
265,Kelan Martin,F,MIN,31,0.33,0.11,0.23,0.01,0.75,-0.42,0.14,0.8,0.79,0.17,0.13,2.21
266,Otto Porter Jr.,F,CHI,14,0.32,0.43,0.01,0.12,0.57,-0.25,-0.01,0.42,0.76,0.32,0.1,1.93
267,Josh Richardson,G,PHI,55,0.32,0.22,0.24,0.13,3.3,-2.98,-0.03,1.77,5.11,1.32,0.55,9.07
268,Trey Lyles,F,SAS,62,0.32,0.85,-0.02,0.51,1.31,-0.99,-0.01,3.26,1.7,0.85,0.44,6.57
269,Skal Labissiere,F-C,POR,33,0.32,0.17,0.18,0.04,0.98,-0.67,0,1.8,1.4,0.16,0.53,4.2
270,Markieff Morris,F,DET,43,0.31,0.69,-0.15,0.23,1.93,-1.62,-0.05,1.31,1.87,0.67,0.19,4.35
271,Chandler Hutchison,F-G,CHI,28,0.3,0.01,0.24,-0.05,0.81,-0.51,-0.21,0.8,0.84,0.67,0.1,2.72
272,Jerome Robinson,G,WAS,21,0.3,0.06,0.29,0.05,0.82,-0.52,-0.01,0.6,1.04,0.43,0.14,2.52
273,Andre Drummond,C,CLE,8,0.3,-0.05,0.22,-0.13,0.81,-0.51,-0.25,1.04,0.33,0.31,0.19,2.17
274,Chris Silva,F,MIA,44,0.3,0.01,0.1,-0.19,0.66,-0.36,0.02,1.01,0.53,0.2,0.21,2.24
275,Stanley Johnson,F-G,TOR,24,0.29,-0.27,0.43,-0.14,0.51,-0.22,-0.07,0.35,0.54,0.09,0.07,1.33
276,Avery Bradley,G,LAL,48,0.29,0.5,0.02,0.24,1.32,-1.03,0.02,1.07,1.87,1.09,0.06,4.38
277,Omari Spellman,F,GSW,48,0.28,0.29,0.03,0.04,1.36,-1.08,-0.01,1.84,0.84,0.5,0.32,3.78
278,Patrick Beverley,G,LAC,51,0.28,0.35,0.13,0.2,1.76,-1.48,-0.13,2.82,5.65,1.44,0.56,10.75
279,Willie Cauley-Stein,C,DAL,13,0.28,0.33,0.04,0.09,0.41,-0.13,-0.06,0.48,0.3,0.07,0.15,1.28
280,Jared Dudley,F,LAL,45,0.28,0.13,0.1,-0.05,0.41,-0.13,0,0.2,0.53,0.27,0.01,1.3
281,Willie Cauley-Stein,C,GSW,40,0.26,0.5,0.2,0.44,1,-0.73,-0.23,2.57,1.55,1.1,0.98,6.46
282,Reggie Bullock,G-F,NYK,28,0.26,0.19,0.13,0.06,0.8,-0.53,0.06,0.66,1.3,0.77,0.03,3.02
283,Derrick Walton Jr.,G,LAC,23,0.26,0.2,0.04,-0.02,0.32,-0.06,-0.01,0.12,0.39,0.03,0,0.81
284,Thaddeus Young,F,CHI,62,0.26,-0.24,0.23,-0.28,2.7,-2.44,-0.24,3.1,3.52,2.03,0.32,9.23
285,Wes Iwundu,F,ORL,51,0.25,0.46,-0.04,0.16,0.93,-0.68,0.07,0.96,1.48,0.64,0.18,3.52
286,Collin Sexton,G,CLE,64,0.24,1.87,-0.52,1.11,3.94,-3.7,0.43,2.21,5.19,1.4,0.21,9.24
287,Drew Eubanks,F-C,SAS,22,0.23,0.2,0.11,0.08,0.61,-0.38,0,0.69,0.43,0.11,0.23,1.69
288,Gary Clark,F,HOU,18,0.22,0.28,0.02,0.07,0.25,-0.03,0.01,0.31,0.32,0.03,0.15,1.03
289,Sterling Brown,G-F,MIL,52,0.22,-0.3,0.04,-0.48,0.71,-0.49,0.07,1.31,1.01,0.46,0.13,3.13
290,Jordan McRae,G,WAS,29,0.22,0.28,0.33,0.39,1.04,-0.82,0.02,0.82,2,0.42,0.27,3.72
291,Juancho Hernangomez,F,MIN,14,0.21,0.55,0.02,0.35,0.46,-0.25,-0.15,0.84,0.48,0.32,0.05,1.9
292,Stephen Curry,G,GSW,5,0.21,0.11,0.01,-0.09,0.46,-0.25,0.1,0.12,0.44,0.08,0.01,0.86
293,Jabari Parker,F,SAC,5,0.21,0.2,0.03,0.02,0.23,-0.02,-0.01,0.12,0.17,0,0.02,0.52
294,Dillon Brooks,G-F,MEM,73,0.21,0.54,-0.35,-0.01,3.32,-3.11,0.25,2.23,4.03,1.29,0.42,8.19
295,Jusuf Nurkic,C,POR,7,0.2,0.18,0.16,0.14,0.69,-0.49,0.06,1.3,1.22,0.49,0.35,3.57
296,Tyler Johnson,G,BKN,8,0.2,0.26,-0.01,0.05,0.32,-0.12,0.07,0.32,0.75,0.15,0.01,1.44
297,Isaiah Hartenstein,C-F,HOU,23,0.2,0.34,-0.02,0.12,0.57,-0.37,0,0.69,0.19,0.14,0.15,1.36
298,Ian Mahinmi,C,WAS,38,0.19,-0.01,0.15,-0.05,1.25,-1.06,-0.21,2.31,1.35,0.74,0.81,5.4
299,Trey Burke,G,PHI,24,0.19,0.28,0.04,0.13,0.43,-0.24,-0.02,0.32,1.34,0.09,0.01,1.94
300,Nassir Little,F-G,POR,48,0.18,0.11,0.07,-0.01,0.49,-0.31,-0.09,0.96,0.45,0.22,0.16,1.98
